Date,compound,neg,neu,pos,Close,Y-ENN
12-Jun-15,-0.9909,0.214,0.7140000000000001,0.07200000000000001,203.76,114.40878745632365
15-Jun-15,0.4276,0.08,0.826,0.094,203.15,113.71806927640735
16-Jun-15,-0.9485,0.11900000000000001,0.8109999999999999,0.07,202.23,114.05411439849739
17-Jun-15,-0.9628,0.12300000000000001,0.8390000000000001,0.038,201.92,114.52362400777092
18-Jun-15,-0.9869,0.149,0.807,0.045,204.39,114.52682030419737
19-Jun-15,-0.9767,0.159,0.747,0.094,205.07,113.86615184099756
22-Jun-15,-0.9721,0.135,0.8009999999999999,0.064,206.99,114.20641360428893
23-Jun-15,-0.9873,0.158,0.77,0.071,205.62,114.19676718264441
24-Jun-15,-0.9939,0.16399999999999998,0.7909999999999999,0.045,207.01,114.58017814789874
25-Jun-15,-0.9852,0.139,0.7909999999999999,0.069,207.0,114.14574994323429
26-Jun-15,-0.9825,0.138,0.821,0.042,207.0,114.52569666944393
29-Jun-15,-0.9941,0.18100000000000002,0.745,0.07400000000000001,209.54,114.25000600643678
30-Jun-15,-0.9793,0.125,0.828,0.047,215.15,114.4039729246509
1-Jul-15,-0.9964,0.209,0.758,0.033,214.58,114.8930733550108
2-Jul-15,-0.9885,0.183,0.733,0.084,211.04,114.11665141970045
3-Jul-15,-0.9828,0.126,0.815,0.059000000000000004,213.35,114.23798560616557
6-Jul-15,-0.9968,0.19,0.779,0.031,212.97,114.85307990120701
7-Jul-15,-0.9802,0.138,0.774,0.08800000000000001,212.91,113.86182848222657
8-Jul-15,-0.8545,0.122,0.7709999999999999,0.107,213.37,113.50515300585798
9-Jul-15,-0.9601,0.132,0.784,0.084,213.74,113.89924878223702
10-Jul-15,-0.9706,0.096,0.851,0.053,214.06,114.19922278050575
13-Jul-15,-0.7716,0.08800000000000001,0.831,0.081,215.04,113.77323774613008
14-Jul-15,-0.9927,0.198,0.715,0.087,218.43,114.13516031045724
15-Jul-15,-0.9692,0.127,0.818,0.055,223.26,114.30214993839513
16-Jul-15,0.3987,0.1,0.79,0.11,232.24,113.5316144217117
22-Jul-15,-0.9616,0.156,0.738,0.106,231.41,113.66924337054832
23-Jul-15,-0.9417,0.11800000000000001,0.799,0.083,228.66,113.85374735903414
