Date,compound,neg,neu,pos,Close
25-Apr-13,-0.9935,0.208,0.744,0.048,90
26-Apr-13,-0.9926,0.209,0.733,0.058,89.87
29-Apr-13,-0.886,0.142,0.739,0.119,88.7
30-Apr-13,-0.9869,0.19,0.736,0.074,88
2-May-13,-0.9766,0.161,0.758,0.081,88.81
3-May-13,-0.9957,0.241,0.685,0.073,89.66
6-May-13,-0.9752,0.166,0.793,0.041,90
7-May-13,-0.9753,0.172,0.772,0.056,89.45
8-May-13,-0.9912,0.212,0.707,0.082,89.98
9-May-13,-0.9709,0.161,0.727,0.112,92.22
10-May-13,-0.997,0.245,0.723,0.031,93.85
13-May-13,0.7096,0.057,0.863,0.08,97.94
14-May-13,-0.9622,0.151,0.765,0.084,99.93
15-May-13,-0.5719,0.129,0.749,0.122,101.55
16-May-13,0,0.122,0.742,0.136,101.81
17-May-13,-0.9735,0.154,0.784,0.062,101.13
20-May-13,-0.9552,0.151,0.779,0.07,100.5
21-May-13,-0.9628,0.159,0.746,0.095,101.03
22-May-13,-0.1779,0.141,0.717,0.142,103.15
23-May-13,-0.9726,0.197,0.731,0.072,104.22
24-May-13,-0.9922,0.19,0.767,0.043,102.94
27-May-13,-0.9633,0.174,0.736,0.09,101.35
28-May-13,-0.9953,0.312,0.62,0.068,103.35
29-May-13,-0.9325,0.177,0.71,0.113,102.45
30-May-13,-0.9716,0.177,0.718,0.104,102.92
31-May-13,-0.9828,0.189,0.731,0.08,105.65
3-Jun-13,-0.9001,0.124,0.785,0.091,108.17
4-Jun-13,-0.6553,0.115,0.79,0.094,107.99
5-Jun-13,-0.8591,0.124,0.802,0.074,107.51
6-Jun-13,-0.6124,0.139,0.744,0.117,111.94
7-Jun-13,-0.9826,0.217,0.713,0.069,113.11
10-Jun-13,-0.9147,0.107,0.843,0.05,110.92
11-Jun-13,-0.9246,0.141,0.777,0.082,114.96
12-Jun-13,-0.9928,0.205,0.748,0.047,114.1
13-Jun-13,-0.9939,0.252,0.687,0.061,119.8
14-Jun-13,-0.993,0.239,0.732,0.029,118.35
17-Jun-13,-0.9247,0.134,0.797,0.069,117.46
18-Jun-13,-0.9833,0.215,0.678,0.106,117.01
19-Jun-13,-0.9936,0.231,0.732,0.037,117.34
20-Jun-13,0.8374,0.082,0.774,0.144,117.64
21-Jun-13,-0.9914,0.304,0.648,0.049,117.67
24-Jun-13,-0.9818,0.252,0.712,0.036,114.65
25-Jun-13,-0.9839,0.215,0.723,0.062,115.69
26-Jun-13,-0.981,0.208,0.735,0.058,115.81
27-Jun-13,0.5106,0.124,0.731,0.144,115.9
28-Jun-13,-0.8577,0.179,0.72,0.101,119.24
1-Jul-13,-0.9618,0.148,0.812,0.04,122.45
2-Jul-13,-0.9744,0.223,0.717,0.061,124.11
3-Jul-13,-0.9866,0.216,0.729,0.055,123.65
4-Jul-13,-0.9169,0.137,0.807,0.056,126.56
5-Jul-13,-0.9468,0.187,0.685,0.128,129.84
8-Jul-13,-0.8893,0.107,0.856,0.037,127.11
9-Jul-13,-0.9233,0.173,0.734,0.093,133.46
10-Jul-13,-0.9545,0.198,0.716,0.086,137.12
11-Jul-13,-0.7783,0.111,0.821,0.068,140.29
12-Jul-13,-0.7088,0.087,0.858,0.054,143.56
15-Jul-13,-0.8709,0.13,0.831,0.039,148.89
16-Jul-13,-0.9623,0.195,0.757,0.048,150.22
17-Jul-13,-0.9823,0.192,0.746,0.062,149.06
18-Jul-13,-0.8625,0.129,0.791,0.08,153.39
19-Jul-13,-0.9779,0.177,0.759,0.064,160.87
22-Jul-13,-0.9814,0.206,0.76,0.034,164.12
23-Jul-13,-0.4854,0.117,0.79,0.093,165.84
24-Jul-13,-0.9118,0.134,0.787,0.079,170.31
25-Jul-13,-0.9118,0.165,0.718,0.117,166.09
26-Jul-13,-0.9325,0.171,0.746,0.083,166.35
29-Jul-13,-0.9313,0.159,0.782,0.059,167.1
30-Jul-13,-0.987,0.193,0.783,0.024,167.14
31-Jul-13,0.1786,0.127,0.723,0.15,170.45
1-Aug-13,-0.9794,0.218,0.738,0.043,167.41
5-Aug-13,-0.8807,0.107,0.845,0.049,159.55
6-Aug-13,-0.9842,0.276,0.63,0.094,162.18
7-Aug-13,-0.981,0.226,0.774,0,165.17
12-Aug-13,-0.9169,0.14,0.792,0.069,162.32
13-Aug-13,-0.9918,0.26,0.688,0.052,161.86
15-Aug-13,-0.9738,0.217,0.726,0.057,163.46
16-Aug-13,-0.7635,0.098,0.852,0.05,163.27
19-Aug-13,-0.9623,0.177,0.766,0.058,160.43
20-Aug-13,-0.9854,0.237,0.716,0.047,159.6
21-Aug-13,-0.9876,0.239,0.728,0.032,158.58
22-Aug-13,-0.9943,0.253,0.701,0.047,162.09
23-Aug-13,-0.9786,0.209,0.75,0.041,164.45
26-Aug-13,-0.7527,0.182,0.702,0.116,162.01
